speedX,angle,trackPos,distFromStart,track_0,track_4,track_9,track_14,track_18,delta_track,steer,accel,brake,split
78.3778,-0.040655,-0.601829,2500.97,11.8415,22.8307,25.2255,28.3357,3.77093,-8.07057,-0.4184292272727273,1.838995587647217e-30,6.392324559114923e-22,train
118.294,-0.0580739,0.96099,440.414,0.314339,2.99498,31.3639,29.0722,15.3152,15.000861,0.300495,1.2066388141041303e-05,2.235057442445125e-17,train
89.75,-0.0800098,0.339846,499.352,5.47899,32.6743,29.2839,26.2656,11.0957,5.616710000000001,0.3848295454545454,0.7626953125,2.4488992994357406e-35,train
240.772,0.095103,-0.403927,1174.8,13.2287,97.3187,124.859,21.785,4.63835,-8.59035,0.12,0.999999999999995,1.6647222006966853e-33,train
97.453,-0.162971,-0.677552,2515.63,11.8183,30.9051,38.6429,50.7766,3.51571,-8.30259,-0.3620706818181818,0.9999434955105322,1.371883095426769e-34,train
115.598,0.00326889,0.596601,514.22,3.55137,35.5417,31.0915,27.7515,12.4389,8.88753,0.3084604545454545,0.9999995752587576,9.421664176463476e-28,train
194.982,0.0191977,-0.733095,1636.25,14.9964,200.0,83.4232,18.0152,2.22251,-12.77389,0.0,0.999999999986557,7.803184858198092e-37,train
96.1948,-0.133829,0.692999,484.361,2.38001,32.2746,29.7154,27.3791,13.7871,11.40709,0.3657880909090909,4.190146802504794e-24,2.3754369869440882e-29,train
100.027,0.0179136,0.509523,457.461,4.47512,32.3937,29.4236,26.5013,11.5537,7.078579999999999,0.3544656818181818,1.8163080541213469e-19,2.9185887065275533e-08,train
93.7647,-0.0323136,0.477724,500.965,4.5073,31.9163,28.75,25.9408,11.7229,7.215599999999999,0.3729679318181818,0.8665161132812518,4.995482921055913e-34,train
195.465,0.278124,-0.00608317,997.105,11.2156,48.4858,55.3378,62.2879,6.91401,-4.30159,-0.1625,0.8665478970565756,1.2638405590766e-05,train
182.277,-0.161048,-0.659686,1066.85,11.7555,27.6583,33.3833,42.3571,3.66124,-8.09426,-0.1625,0.994362712831732,9.315988538792669e-18,train
