time,steer,accel,brake,gear,speedX,speedY,speedZ,frontLeftSpin,frontRightSpin,rearLeftSpin,rearRightSpin,trackPos,distFromStart,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,focus_0,focus_1,focus_2,focus_3,focus_4
59.406,-0.1707106818181818,0.0316721094022157,1.57925539423917e-15,4,162.221,4.06621,-3.40243,147.306,150.609,140.85,144.394,-0.787924,2995.54,0.00926751,12000.3,24.0,14.1043,22.0147,25.7909,29.1817,31.7795,33.2964,34.176,34.9905,35.5997,36.2334,36.8928,37.5797,38.5904,39.8217,42.3792,48.7373,65.5011,4.31968,1.80626,-1.0,-1.0,-1.0,-1.0,-1.0
15.55,0.0,0.9999999999999998,8.506235997911644e-50,4,186.295,0.00107314,-0.61456,170.792,170.792,169.716,169.716,-0.657995,615.461,-0.011843,14283.8,0.0,13.5887,25.5027,33.9436,43.6591,51.8812,56.9039,59.8762,62.6604,64.76,66.9563,69.2551,71.659,75.2111,79.5512,88.977,116.905,12.4452,6.89653,2.95461,-1.0,-1.0,-1.0,-1.0,-1.0
47.986,0.4048519090909091,3.2362882484915573e-21,2.320443733114674e-06,4,82.9732,-1.2789,-5.22044,78.4821,73.7896,75.5505,70.7077,0.13965,2451.12,0.114237,6153.28,0.0,56.6334,21.5573,19.4181,17.8723,16.9585,16.5136,16.2798,16.0774,15.934,15.7917,15.6504,15.5102,15.3158,15.0963,14.6925,13.9173,12.7405,11.3348,8.1428,-1.0,-1.0,-1.0,-1.0,-1.0
14.01,-0.1275229545454544,0.999999999998198,8.499667874374914e-36,4,137.018,-16.4153,-0.155473,126.321,126.192,138.48,138.48,-0.0618909,545.373,-0.0452173,11651.9,0.0,8.62921,17.3146,25.2918,38.2412,52.3874,59.469,63.2875,66.6778,69.1342,71.6241,74.1509,76.7177,80.3831,84.6839,93.1032,111.552,34.4291,19.9247,8.3459,-1.0,-1.0,-1.0,-1.0,-1.0
13.93,0.2454222727272727,0.9999999244108776,4.6459997136098547e-48,4,136.934,-0.245443,0.205314,125.787,124.15,126.831,126.831,-0.174633,549.34,0.150243,10676.4,0.0,11.8789,39.0727,67.3507,92.2443,110.037,119.906,41.3528,37.4032,35.1108,33.0855,31.2834,29.6696,27.6744,25.7037,22.6869,18.4056,14.0697,10.6861,6.15196,-1.0,-1.0,-1.0,-1.0,-1.0
9.87,0.2516888636363636,1.3515123612471852e-12,9.113095173829836e-07,4,134.813,-9.22488,-3.69101,124.794,121.789,119.814,116.44,-0.0949319,408.713,-0.398835,9939.04,0.0,7.24341,12.1952,48.3678,43.8531,41.1387,39.7868,39.0684,38.4417,37.9953,37.5499,37.1057,36.6628,36.0451,35.3429,34.0381,31.4839,27.44,22.3729,10.888,-1.0,-1.0,-1.0,-1.0,-1.0
10.45,0.3246927272727272,0.9249153137207032,5.421665551872382e-09,4,110.104,-8.27324,-4.78402,100.783,97.8345,106.889,106.889,0.715723,428.42,-0.177843,8998.59,0.0,2.10828,3.91519,5.89664,38.3978,36.2739,35.2379,34.6931,34.2211,33.8867,33.5546,33.2249,32.8975,32.4432,31.9301,30.9857,29.1694,26.3693,22.9467,14.8033,-1.0,-1.0,-1.0,-1.0,-1.0
4.58,0.1625,0.9999999999999998,0.0,4,176.799,-4.94803,3.07616,163.042,160.24,163.05,163.05,-0.597583,110.132,-0.0724755,13723.2,0.0,12.6716,24.3794,34.456,49.5575,67.5944,133.646,128.258,123.908,120.987,118.21,115.566,113.047,109.499,105.178,95.9225,48.6039,17.684,9.42258,3.69163,-1.0,-1.0,-1.0,-1.0,-1.0
8.13,0.1625,0.3164062499999999,0.0,5,262.756,-0.861481,-5.10448,242.117,240.412,232.92,232.92,-0.17174,334.977,0.109319,17609.6,0.0,11.2354,31.8888,70.3371,92.2305,82.6096,74.1398,62.4599,54.1722,49.4865,45.55,42.1966,39.3059,35.8703,32.618,27.8914,21.6605,15.8575,11.6443,6.37097,-1.0,-1.0,-1.0,-1.0,-1.0
48.726,-0.3900008863636364,0.0001325941755533,4.756910706021152e-28,4,87.9997,12.6109,-15.4407,77.4422,81.9479,75.1234,80.1214,-0.616573,2493.99,0.230241,6530.83,0.0,13.9349,21.2067,24.3484,27.0014,28.8185,29.8508,30.4409,30.9819,31.3831,31.7972,32.225,32.6669,33.3107,34.0846,35.6565,39.3673,47.9734,5.44463,2.78148,-1.0,-1.0,-1.0,-1.0,-1.0
